address,bank_name,schedule,geo_lat,geo_lon
"г. Сергиев Посад, ул.Кооперативная, д.2",Авангард,Круглосуточно,56.3019633,38.1358278
"г. Сергиев Посад, ул.Кооперативная, д.2",Банк ВТБ,Доступен в режиме работы места установки,56.3019633,38.1358278
"г. Сергиев Посад, ул.Вознесенская, д.32а",Банк Уралсиб,Круглосуточно,56.303856,38.133214
"г. Сергиев Посад, ул.Вознесенская, д.32а",Банк «Открытие»,Круглосуточно,56.303856,38.133214
"г. Сергиев Посад, ул.Вознесенская, д.32а",Московский Кредитный Банк,Круглосуточно,56.303856,38.133214
"г. Сергиев Посад, ул.1-й Ударной Армии, д.12",Банк Уралсиб,Круглосуточно,56.3162089,38.1326194
"г. Сергиев Посад, ул.1-й Ударной Армии, д.12",Банк ВТБ,Круглосуточно,56.3162089,38.1326194
"г. Сергиев Посад, просп. Красной Армии, д.4",Банк Уралсиб,Круглосуточно,56.2950646,38.1284399
"г. Сергиев Посад, ш.Новоугличское, д.46",Банк «Открытие»,Круглосуточно,56.3264408,38.1334781
"г. Сергиев Посад, просп. Красной Армии, д.91",Банк «Открытие»,Доступен в режиме работы места установки,56.301886,38.1294463
"г. Сергиев Посад, просп. Красной Армии, д.91",Почта Банк,Круглосуточно,56.301886,38.1294463
"г. Сергиев Посад, просп. Красной Армии, д.3",Банк «Открытие»,Круглосуточно,56.295475,38.127182
"г. Сергиев Посад, ш.Московское, д.58а",Банк ВТБ,Круглосуточно,56.2742111,38.1208063
"г. Сергиев Посад, ш.Ярославское, д.16",Банк ВТБ,Круглосуточно,56.3405359,38.1696876
"г. Сергиев Посад, просп. Красной Армии, д.236",Банк ВТБ,Круглосуточно,56.33065,38.1554651
"г. Сергиев Посад, ш.Новоугличское, д.53а",Банк ВТБ,Круглосуточно,56.3253959,38.1330447
"г. Сергиев Посад, ул.Мира, д.3д",Банк ВТБ,Доступен в режиме работы места установки,56.299895,38.179945
"г. Сергиев Посад, ул.Кирпичная, д.27а",Банк ВТБ,Круглосуточно,56.2943965,38.1552327
"г. Сергиев Посад, просп. Красной Армии, д.5а",Банк ВТБ,Круглосуточно,56.296318,38.12791
"г. Сергиев Посад, просп. Красной Армии, д.171",Банк ВТБ,Круглосуточно,56.3161614,38.1368031
"г. Сергиев Посад, ш.Новоугличское, д.85",Банк ВТБ,Круглосуточно,56.3398477,38.1245663
"г. Сергиев Посад, ш.Новоугличское, д.85",Московский Кредитный Банк,Круглосуточно,56.3398477,38.1245663
"г. Сергиев Посад, Свято-Троицкая Сергиева Лавра",Банк ВТБ,Доступен в режиме работы места установки,56.3062548,38.1502661
"г. Сергиев Посад, ул.Карла Маркса, д.4",Газпромбанк,Круглосуточно,56.3062548,38.1502661
"г. Сергиев Посад, просп. Красной Армии, д.190",Кредит Европа Банк,Круглосуточно,56.3182023,38.1399941
"Московская обл., г.Сергиев Посад, ш.Новоугличское, д.85",Московский Кредитный Банк,Круглосуточно,56.3398477,38.1245663
